"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Raw Beauty Aesthetics Medical Spa","5","487","6300 Canoga Ave #102","Woodland Hills","California","US","https://rawbeautyaesthetics.com/?utm_source=google&utm_medium=gmb&utm_campaign=website","(818) 446-6111","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Raw%20Beauty%20Aesthetics%20Medical%20Spa&query_place_id=ChIJS16WuOudwoARJNAEXnWDASg","Medical spa"
"Lovely Med Spa","4.9","70","5353 Topanga Canyon Blvd #103","Woodland Hills","California","US","http://www.lovelymedspa.com/","(818) 436-2134","Medical spa","Day spa","Medical clinic","Spa","Wellness center","Wellness program",,,,,"https://www.google.com/maps/search/?api=1&query=Lovely%20Med%20Spa&query_place_id=ChIJ_xFGEPKfwoARuVeGOAPDJzk","Medical spa"
"The Med Spot","4.9","108","6355 CA-27 #529","Woodland Hills","California","US","https://themedspotla.com/","(818) 888-1105","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Med%20Spot&query_place_id=ChIJdRqB9ZaewoARhvTbn3ZGnBo","Medical spa"
"ReNuMe Med Spa","4.5","35","20301 Ventura Blvd Suite #250","Woodland Hills","California","US","https://www.renumespa.com/","(818) 914-5570","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ReNuMe%20Med%20Spa&query_place_id=ChIJOxDvbEqZwoARU1uk9G_QuO8","Medical spa"
"Della Bellezza Med Spa","4.8","19","6200 Canoga Ave #208","Woodland Hills","California","US","http://www.dellabellezzamedspa.com/","(818) 518-4582","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Della%20Bellezza%20Med%20Spa&query_place_id=ChIJYxmrJxOfwoARBm_LDwfDurk","Medical spa"
"Richland Aesthetics Luxury Med Spa Woodland Hills","4.9","54","19905 Ventura Blvd","Woodland Hills","California","US","https://www.richlandmd.com/woodland-hills/","(424) 402-5649","Medical spa","Facial spa","Laser hair removal service","Skin care clinic","Weight loss service","Wellness center",,,,,"https://www.google.com/maps/search/?api=1&query=Richland%20Aesthetics%20Luxury%20Med%20Spa%20Woodland%20Hills&query_place_id=ChIJZe2r-_yZwoARCe6htGE1Nrc","Medical spa"
"Luminous Medical Aesthetics","4.9","108","6200 Canoga Ave #300","Woodland Hills","California","US","http://www.luminousmedaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","(818) 330-8295","Medical spa","Laser hair removal service","Skin care clinic","Spa and health club","Tattoo removal service",,,,,,"https://www.google.com/maps/search/?api=1&query=Luminous%20Medical%20Aesthetics&query_place_id=ChIJY_ZLBdmdwoARxliNScZOknE","Medical spa"
"Epitome Med Spa","5","35","22150 Ventura Blvd","Woodland Hills","California","US","https://epitomemedspa.com/","(818) 963-8683","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Epitome%20Med%20Spa&query_place_id=ChIJh08w4hufwoARptjr6ShZYa8","Medical spa"
"JM MedSpa","4.3","90","21107 Vanowen St","Canoga Park","California","US",,"(424) 453-3444","Medical spa","Facial spa","Health and beauty shop",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JM%20MedSpa&query_place_id=ChIJS1Ru2quXwoARZt4C43QFrq4","Medical spa"
"Go Med Aesthetics","4.9","24","21107 Vanowen St Suite 100","Canoga Park","California","US","https://glowmedaestheticspa.com/","(424) 416-7574","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Go%20Med%20Aesthetics&query_place_id=ChIJ20Z6v-qdwoARfDZyUoQPrw4","Medical spa"
"Prime Wellness","4.9","61","22554 Ventura Blvd #117","Woodland Hills","California","US","https://www.stayyoungforlife.com/?utm_source=gmb_auth","(818) 703-9512","Medical spa","Facial spa","Health spa","Medical office","Men's health physician","Nutritionist","Women's health clinic","Skin care clinic","Sports medicine clinic",,"https://www.google.com/maps/search/?api=1&query=Prime%20Wellness&query_place_id=ChIJg7pQ51afwoARUaOLfukemCs","Medical spa"
"Total Body Aesthetic","4.9","162","8610 S Sepulveda Blvd #100","Los Angeles","California","US","http://totalbodyaesthetics.com/","(310) 670-1920","Medical spa","Facial spa","Skin care clinic","Weight loss service",,,,,,,"https://www.google.com/maps/search/?api=1&query=Total%20Body%20Aesthetic&query_place_id=ChIJLayBp0OxwoARcg1gzNFuu8s","Medical spa"
"Olive Branch Medspa","5","1","6218 W Manchester Ave","Westchester","California","US","https://olivebranchmedspa.org/","(424) 998-6280","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Olive%20Branch%20Medspa&query_place_id=ChIJU16io-ixwoARkEX7YplsAzA","Medical spa"
"Idan Med Spa","5","89","17217 Ventura Blvd","Encino","California","US","https://www.idanmedspa.com/","(818) 661-2524","Facial spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Idan%20Med%20Spa&query_place_id=ChIJGUeb3sqZwoARYLdPy6bmjMY","Facial spa"
"LeMed Spa","4.8","22","17414 Ventura Blvd","Encino","California","US","https://lemedspa.com/","(818) 463-3772","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LeMed%20Spa&query_place_id=ChIJ8TtXJZKZwoARkPc3uuXcA8Q","Medical spa"
"Fancy Beauty Med Spa","5","62","17071 Ventura Blvd #104","Encino","California","US","https://fancybeaute.com/?utm_source=gmb&utm_medium=referral","(818) 290-3966","Medical spa","Facial spa","Hair removal service","Laser hair removal service","Skin care clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=Fancy%20Beauty%20Med%20Spa&query_place_id=ChIJ420dEJGZwoARXkMep4ZYnIA","Medical spa"
"Eleven Eleven Day Spa","5","2","B, 6218 W Manchester Ave","Los Angeles","California","US",,"","Day spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Eleven%20Eleven%20Day%20Spa&query_place_id=ChIJfx6HOVWxwoARl_VLyglqx_M","Day spa"
"Dr. Luis Macias - Aesthetic MdR","4.8","100","13160 Mindanao Wy # 202","Marina Del Rey","California","US","https://www.aestheticmdr.com/","(310) 574-2103","Medical spa","Doctor","Plastic surgeon","Plastic surgery clinic","Surgeon",,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20Luis%20Macias%20-%20Aesthetic%20MdR&query_place_id=ChIJLS0TNpu6woAR42WUb3Tz1Uc","Medical spa"
"Rising Willow","5","99","6209 W 87th St","Los Angeles","California","US","http://risingwillowskin.com/","(310) 487-6402","Hair removal service","Facial spa","Skin care clinic","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Rising%20Willow&query_place_id=ChIJrXs5AJixwoARds6rCLYq_DY","Hair removal service"
"Nenergy Boost","5","18","4290 Lincoln Blvd","Marina Del Rey","California","US","https://nenergyboost.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","(424) 228-4770","Medical spa","Medical clinic","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nenergy%20Boost&query_place_id=ChIJb1qcY2W7woAROVJ0RBaGwJY","Medical spa"
"Instadrip IV - Mobile IV Los Angeles","5","204","8405 Pershing Dr #407","Playa Del Rey","California","US","http://instadrip.com/?utm_campaign=gmb","(209) 600-3034","Home health care service","Local medical services","Medical spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Instadrip%20IV%20-%20Mobile%20IV%20Los%20Angeles&query_place_id=ChIJD_OroI7T4SwR-o5yr2QcEWs","Home health care service"
"Aesthetic MdR","4.8","69","13160 Mindanao Wy # 202","Marina Del Rey","California","US","http://www.aestheticmdr.com/","(310) 574-2103","Medical spa","Plastic surgery clinic","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aesthetic%20MdR&query_place_id=ChIJBTedEbe7woARbSKPTBkHA-o","Medical spa"
"Neuro Wellness Spa | Psychiatrists in Marina Del Rey","4.9","64","13400 Washington Blvd Suite #105","Marina Del Rey","California","US","https://neurowellnessspa.com/locations/psychiatrist-marina-del-rey/?utm_source=google_business_profile&utm_medium=referral&utm_campaign=listing_mdr","(213) 816-9651","Psychiatrist","Mental health clinic","Mental health service","Psychotherapist",,,,,,,"https://www.google.com/maps/search/?api=1&query=Neuro%20Wellness%20Spa%20%7C%20Psychiatrists%20in%20Marina%20Del%20Rey&query_place_id=ChIJTb5D5Hi7woARUuMwdv9Onz4","Psychiatrist"
"Granada Hills Med Spa","5","41","10660 White Oak Ave #214","Granada Hills","California","US","http://granadahillsmedspa.com/","(818) 322-4508","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Granada%20Hills%20Med%20Spa&query_place_id=ChIJR6evfNmbwoARfEpDyonlAaQ","Medical spa"
"Lana Med Spa","4.9","27","19300 Rinaldi St","Porter Ranch","California","US","https://lanamedspa.com/","(818) 743-2575","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lana%20Med%20Spa&query_place_id=ChIJsdhYU92bwoAR7df-E4ZLVw0","Medical spa"
"Bloom Skin and Wellness Med Spa","5","58","10718 White Oak Ave #2","Granada Hills","California","US","https://bloomskinandwellness.com/","(747) 247-7549","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bloom%20Skin%20and%20Wellness%20Med%20Spa&query_place_id=ChIJ-zMj06ebwoARosizuhZZueA","Medical spa"
"Contour Medical Spa","5","38","18641 Devonshire St","Northridge","California","US","https://contourmedspa.com/","(310) 730-8455","Medical spa","Facial spa","Laser hair removal service","Medical Center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Contour%20Medical%20Spa&query_place_id=ChIJg_-BFZqbwoARMOwL6yqRwjg","Medical spa"
"Atma Health ARx - MedSpa","4.8","32","10242 Reseda Blvd","Northridge","California","US","http://atmahealth.com/","(818) 626-9552","Medical spa","Dermatologist","Facial spa","Laser hair removal service","Skin care clinic","Weight loss service",,,,,"https://www.google.com/maps/search/?api=1&query=Atma%20Health%20ARx%20-%20MedSpa&query_place_id=ChIJgfs7C8bHwoARhEHvAEFV9Rc","Medical spa"
"Belle Rose LA MedSpa","4.9","88","Inside the Phenix Salon Suites, 9301 Tampa Avenue, Space 565, Suite 117","Northridge","CA","US","http://www.bellerosela.com/","(424) 645-9288","Medical spa","Skin care clinic","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Belle%20Rose%20LA%20MedSpa&query_place_id=ChIJH54FK3ZxKioR5LwanaVazoI","Medical spa"
"On The Glow","4.8","134","11201 Tampa Ave","Porter Ranch","California","US","https://www.ontheglowmedicalspa.com/","(747) 366-2524","Medical spa","Facial spa","Health and beauty shop","Laser hair removal service","Skin care clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=On%20The%20Glow&query_place_id=ChIJne9pSaWbwoARDIkTY_gnPDc","Medical spa"
"Envisage MedSpa","5","4","9017 Reseda Blvd #106","Northridge","California","US","http://www.envisagemedspa.com/","(747) 900-9700","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Envisage%20MedSpa&query_place_id=ChIJM7tPH8GbwoAR8tBHSQxXwTc","Medical spa"
"The Skin Agency","4.8","84","17454 Chatsworth St Unit B","Granada Hills","California","US","https://www.theskinagency.com/","(747) 777-2447","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Skin%20Agency&query_place_id=ChIJY69CajSbwoARrCjfRZ00oEI","Medical spa"
"Via Aesthetics & Wellness","5","25","10349 Balboa Blvd #203","Granada Hills","California","US","https://viaaestheticsandwellness.com/","(818) 584-2382","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Via%20Aesthetics%20%26%20Wellness&query_place_id=ChIJQSD6bvabwoARzEloYjyeQkw","Medical spa"
"R & R MedSpa & Wellness (R & R Medical Wellness)","4.7","32","9335 Reseda Blvd Suite 102","Northridge","California","US","http://rrmedspawellness.com/","(818) 805-7433","Medical spa","Acupuncturist","Chiropractor","Health spa","Laser hair removal service","Massage spa","Massage therapist","Skin care clinic","Sports massage therapist",,"https://www.google.com/maps/search/?api=1&query=R%20%26%20R%20MedSpa%20%26%20Wellness%20(R%20%26%20R%20Medical%20Wellness)&query_place_id=ChIJ2Z1KXKqbwoARSlA1wF40eM0","Medical spa"
"KISSED BY AESTHETICS","5","27","10605 Balboa Blvd","Granada Hills","California","US","https://kissedbyaesthetics.com/?utm_source=GBP","(818) 618-4602","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KISSED%20BY%20AESTHETICS&query_place_id=ChIJIeGSI3ObwoARK8O-VUCuD7A","Medical spa"
"Skin Gallery Spa","4.9","54","10349 Balboa Blvd #201","Granada Hills","California","US","http://skingalleryspa.com/","(818) 831-7979","Day spa","Facial spa","Massage spa","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Gallery%20Spa&query_place_id=ChIJz9LrIo6awoARxPVM52NrrKo","Day spa"
"Vivir Medical Aesthetics","5","5","8992 Tampa Ave","Northridge","California","US","http://www.serassalon.com/","(818) 399-3759","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vivir%20Medical%20Aesthetics&query_place_id=ChIJRyfuheCbwoARJg5JXGrpXlk","Medical spa"
"C&S Aesthetics","5","5","9017 Reseda Blvd #100","Northridge","California","US","https://www.csaesthetics.org/","(747) 774-7095","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=C%26S%20Aesthetics&query_place_id=ChIJn-yX1IKOiQURx6IC4K1bJVw","Medical spa"
"Escape Med Spa","5","14","19525 Nordhoff St Suite 20","Northridge","California","US","https://escapespala.com/","(818) 800-0128","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Escape%20Med%20Spa&query_place_id=ChIJrcXkZ1abwoARyu42fyJ8Yjo","Medical spa"
"No Filter Needed Medspa",,,"17411 Chatsworth St Unit 101A","Granada Hills","California","US","https://nofilterneededmedspa.org/","(818) 922-4560","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=No%20Filter%20Needed%20Medspa&query_place_id=ChIJ6XgrPqGbwoARCpwcD0Aa_x8","Medical spa"
"Skin & Beauty MedSpa - Northridge",,,"9535 Reseda Blvd #304","Northridge","California","US","https://www.sbcmedspa.com/","(818) 350-5620","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20%26%20Beauty%20MedSpa%20-%20Northridge&query_place_id=ChIJBwfLlAybwoARh7zsRs_--I8","Medical spa"
"Ziba Med Spa","5","17","18556 Ventura Blvd","Tarzana","California","US","https://www.zibamedspa.org/","(818) 900-9422","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ziba%20Med%20Spa&query_place_id=ChIJQTtyl3OZwoARHc67GNYztyI","Medical spa"
"NU Med Spa","4.4","99","17207 Ventura Blvd","Encino","California","US","http://www.numedspas.com/","(818) 387-6332","Medical spa","Doctor","Facial spa","Hair replacement service","Laser hair removal service","Skin care clinic","Spa","Tattoo removal service","Weight loss service","Wellness center","https://www.google.com/maps/search/?api=1&query=NU%20Med%20Spa&query_place_id=ChIJ__8_jC-YwoARH1X-xHfy-bE","Medical spa"
"Tarzana Cosmetic Wellness & Medspa","4.9","14","18384 Clark St","Tarzana","California","US","http://www.tarzanacosmetic.com/","(818) 776-0031","Skin care clinic","Nutritionist",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tarzana%20Cosmetic%20Wellness%20%26%20Medspa&query_place_id=ChIJ4edMAwiZwoARBxmql_UsxiU","Skin care clinic"
"TdAesthetics MedSpa & Wellness","5","11","17639 Sherman Way","Van Nuys","California","US","http://www.tdaesthetic.com/?utm_source=GBP","(818) 875-9899","Medical spa","IV therapy service","Weight loss service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=TdAesthetics%20MedSpa%20%26%20Wellness&query_place_id=ChIJu6FT8RIfpmwRcGZ8-lKj9aE","Medical spa"
"n2u aesthetics","4.8","23","18433 Roscoe Blvd # 203","Northridge","California","US","http://n2uaesthetics.com/","(818) 721-9004","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=n2u%20aesthetics&query_place_id=ChIJb9xO3KebwoARdk9q_r0n3FU","Medical spa"
"Grand Beauty and Cosmetic Spa","5","11","18345 Ventura Blvd #305","Tarzana","California","US","https://grandbeautyandcosmeticspa.com/home","(818) 838-5195","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Grand%20Beauty%20and%20Cosmetic%20Spa&query_place_id=ChIJVTG1MCSZwoARcoKhxrie0BY","Medical spa"
"Aesthetica Medi Spa","4.8","21","17750 Sherman Way #305","Reseda","California","US","http://www.aestheticamedi.com/","(818) 477-0560","Medical spa","Plastic surgeon","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aesthetica%20Medi%20Spa&query_place_id=ChIJQfttZ4iZwoARR52bZG_k-P0","Medical spa"
"HealthZen Wellness Center and Direct Primary Care","4.7","43","First floor of Westfield Topanga, near Nordstrom, 6600 CA-27 #1042","Canoga Park","CA","US","https://www.health-zen.com/","(818) 912-6195","Medical clinic","Esthetics service","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=HealthZen%20Wellness%20Center%20and%20Direct%20Primary%20Care&query_place_id=ChIJB4zTFJKdwoARLAj4ZcUuUw4","Medical clinic"
"Dermatic Medical Aesthetics","5","170","17200 Ventura Blvd #207","Encino","California","US","https://dermaticaesthetics.com/pages/treatments","(818) 835-8080","Medical spa","Facial spa","Medical clinic","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Dermatic%20Medical%20Aesthetics&query_place_id=ChIJVVXlvyGcwoARprjp-mbfIpE","Medical spa"
"Dr. Sandra Roy, ND (Dr. S)","5","9","12530 Short Ave","Los Angeles","California","US","http://www.dr-s.one/","(818) 858-6048","Medical spa","Holistic medicine practitioner","Medical clinic","Medical office","Naturopathic practitioner",,,,,,"https://www.google.com/maps/search/?api=1&query=Dr.%20Sandra%20Roy%2C%20ND%20(Dr.%20S)&query_place_id=ChIJvYFIUADBwoAR45ZkiuaxHjo","Medical spa"
"Medenti Dental Med Spa",,,"8540 S Sepulveda Blvd","Los Angeles","California","US",,"","Dentist",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Medenti%20Dental%20Med%20Spa&query_place_id=ChIJX9wG_uuxwoAR25dH52D7l-Y","Dentist"
